Date,Open,High,Low,Volume,Close
1962-01-02 00:00:00-05:00,1.5185499082521712,1.5185499082521712,1.501487374305725,407940,1.501487374305725
1962-01-03 00:00:00-05:00,1.5014873965266784,1.514612317085266,1.5014873965266784,305955,1.514612317085266
1962-01-04 00:00:00-05:00,1.5146125023373938,1.5146125023373938,1.498862635018665,274575,1.499518871307373
1962-01-05 00:00:00-05:00,1.4975505705134482,1.4975505705134482,1.4673633022069734,384405,1.4699883460998535
1962-01-08 00:00:00-05:00,1.4686748475251454,1.4686748475251454,1.4306127636177064,572685,1.442425012588501
1962-01-09 00:00:00-05:00,1.4489875840532715,1.4778624616901423,1.4489875840532715,517770,1.4594875574111938
1962-01-10 00:00:00-05:00,1.4621134996414185,1.468675864725824,1.4621134996414185,313800,1.4621134996414185
1962-01-11 00:00:00-05:00,1.466050170016876,1.4778627157211304,1.466050170016876,337335,1.4778627157211304
1962-01-12 00:00:00-05:00,1.4804879426956177,1.490987723470661,1.4804879426956177,462855,1.4804879426956177
1962-01-15 00:00:00-05:00,1.4857382005101567,1.4903320524286598,1.4857382005101567,266730,1.4870507717132568
1962-01-16 00:00:00-05:00,1.485737779948351,1.485737779948351,1.471300482749939,266730,1.471300482749939
1962-01-17 00:00:00-05:00,1.4647380022269976,1.4647380022269976,1.443738147137706,439320,1.4476754665374756
1962-01-18 00:00:00-05:00,1.451612114906311,1.4660494013444436,1.451612114906311,392250,1.451612114906311
1962-01-19 00:00:00-05:00,1.4516134266275718,1.45555074696611,1.4358634579092175,423630,1.4529258012771606
1962-01-22 00:00:00-05:00,1.4529252806324149,1.4673627713327289,1.448987863509934,290265,1.4503003358840942
1962-01-23 00:00:00-05:00,1.449644393619122,1.4516131024461725,1.4332381921424446,392250,1.4358631372451782
1962-01-24 00:00:00-05:00,1.4358624787798973,1.443737506866455,1.4286438830577206,431475,1.443737506866455
1962-01-25 00:00:00-05:00,1.443737774851371,1.4555500245893267,1.4253628695633724,337335,1.427987813949585
1962-01-26 00:00:00-05:00,1.427988650385491,1.4332386404279036,1.4201137144193194,258885,1.4207700490951538
1962-01-29 00:00:00-05:00,1.4207688346799443,1.4306124716749962,1.3964877128601074,611910,1.3964877128601074
1962-01-30 00:00:00-05:00,1.396488911838146,1.4043638478343026,1.3787702322006226,776655,1.3787702322006226
1962-01-31 00:00:00-05:00,1.392551498362344,1.4227386713027954,1.392551498362344,800190,1.4227386713027954
1962-02-01 00:00:00-05:00,1.4371763261926886,1.4594887634675682,1.4371763261926886,674670,1.4555511474609375
